employee_id,designation,coe_dep,competency_sheet,competency_question,response,score,competency_source
EMP547,Solutions Enabler,Data Engineering,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",Yes,5.0,observed
EMP386,Solutions Enabler,Data Engineering,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",Yes,1.0,observed
EMP581,Solutions Enabler,Techops & Automation,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP185,Solutions Enabler,Techops & Automation,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",Yes,5.0,observed
EMP921,Solutions Enabler,Techops & Automation,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP397,Solutions Enabler,Data Science & AI,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP373,Solutions Enabler,Data Science & AI,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP803,Solutions Enabler,Data Engineering,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP623,Solutions Enabler,Techops & Automation,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",Yes,5.0,observed
EMP1033,Solutions Enabler,Techops & Automation,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",Yes,5.0,observed
EMP646,Solutions Enabler,Power BI & Consulting,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",Yes,2.0,observed
EMP950,Solutions Enabler,Power BI & Consulting,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP24,Solutions Enabler,Data Science & AI,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP404,Solutions Enabler,Techops & Automation,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP271,Solutions Enabler,Data Engineering,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",Yes,3.0,observed
EMP943,Solutions Enabler,Data Engineering,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",Yes,1.0,observed
EMP189,Solutions Enabler,Data Engineering,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP807,Solutions Enabler,Data Engineering,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",Yes,3.0,observed
EMP498,Solutions Enabler,Power BI & Consulting,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",Yes,1.0,observed
EMP390,Solutions Enabler,Data Science & AI,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP516,Solutions Enabler,Full Stack,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP606,Solutions Enabler,Full Stack,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",Yes,5.0,observed
EMP488,Solutions Enabler,Full Stack,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP614,Solutions Enabler,Full Stack,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP831,Solutions Enabler,Data Engineering,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",Yes,1.0,observed
EMP618,Solutions Enabler,Data Engineering,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",Yes,2.0,observed
EMP701,Solutions Enabler,Power BI & Consulting,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP78,Solutions Enabler,Power BI & Consulting,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP442,Solutions Enabler,Full Stack,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP551,Solutions Enabler,Techops & Automation,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",Yes,1.0,observed
EMP95,Solutions Enabler,Techops & Automation,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP102,Solutions Enabler,Techops & Automation,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP403,Solutions Enabler,Techops & Automation,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP899,Solutions Enabler,Techops & Automation,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",Yes,3.0,observed
EMP91,Solutions Enabler,Power BI & Consulting,Solution Enabler,"Operates in a consultative / advisory capacity, guiding clients toward optimal solutions",No,0.0,observed
EMP366,Solutions Enabler,Data Engineering,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,3.0,observed
EMP941,Solutions Enabler,Data Engineering,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP528,Solutions Enabler,Techops & Automation,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,4.0,observed
EMP603,Solutions Enabler,Full Stack,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,2.0,observed
EMP1020,Solutions Enabler,Techops & Automation,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,5.0,observed
EMP933,Solutions Enabler,Data Engineering,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP861,Solutions Enabler,Data Engineering,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP451,Solutions Enabler,Data Science & AI,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,1.0,observed
EMP468,Solutions Enabler,Data Science & AI,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,3.0,observed
EMP456,Solutions Enabler,Full Stack,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,1.0,observed
EMP190,Solutions Enabler,Full Stack,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP594,Solutions Enabler,Full Stack,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,5.0,observed
EMP1034,Solutions Enabler,Data Science & AI,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,5.0,observed
EMP6,Solutions Enabler,Techops & Automation,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP662,Solutions Enabler,Techops & Automation,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,2.0,observed
EMP239,Solutions Enabler,Techops & Automation,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP673,Solutions Enabler,Data Science & AI,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,3.0,observed
EMP90,Solutions Enabler,Data Engineering,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP249,Solutions Enabler,Data Engineering,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,3.0,observed
EMP702,Solutions Enabler,Data Science & AI,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP531,Solutions Enabler,Data Engineering,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,5.0,observed
EMP547,Solutions Enabler,Data Engineering,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP386,Solutions Enabler,Data Engineering,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP581,Solutions Enabler,Techops & Automation,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP185,Solutions Enabler,Techops & Automation,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP921,Solutions Enabler,Techops & Automation,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP397,Solutions Enabler,Data Science & AI,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,5.0,observed
EMP373,Solutions Enabler,Data Science & AI,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,5.0,observed
EMP803,Solutions Enabler,Data Engineering,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,5.0,observed
EMP623,Solutions Enabler,Techops & Automation,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,5.0,observed
EMP1033,Solutions Enabler,Techops & Automation,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP646,Solutions Enabler,Power BI & Consulting,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,1.0,observed
EMP950,Solutions Enabler,Power BI & Consulting,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP24,Solutions Enabler,Data Science & AI,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,5.0,observed
EMP404,Solutions Enabler,Techops & Automation,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,3.0,observed
EMP271,Solutions Enabler,Data Engineering,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,3.0,observed
EMP943,Solutions Enabler,Data Engineering,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,4.0,observed
EMP189,Solutions Enabler,Data Engineering,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,3.0,observed
EMP807,Solutions Enabler,Data Engineering,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,5.0,observed
EMP498,Solutions Enabler,Power BI & Consulting,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP390,Solutions Enabler,Data Science & AI,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,4.0,observed
EMP516,Solutions Enabler,Full Stack,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP606,Solutions Enabler,Full Stack,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP488,Solutions Enabler,Full Stack,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,2.0,observed
EMP614,Solutions Enabler,Full Stack,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP831,Solutions Enabler,Data Engineering,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP618,Solutions Enabler,Data Engineering,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,4.0,observed
EMP701,Solutions Enabler,Power BI & Consulting,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP78,Solutions Enabler,Power BI & Consulting,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP442,Solutions Enabler,Full Stack,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP551,Solutions Enabler,Techops & Automation,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,1.0,observed
EMP95,Solutions Enabler,Techops & Automation,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,No,0.0,observed
EMP102,Solutions Enabler,Techops & Automation,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,2.0,observed
EMP403,Solutions Enabler,Techops & Automation,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,1.0,observed
EMP899,Solutions Enabler,Techops & Automation,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,3.0,observed
EMP91,Solutions Enabler,Power BI & Consulting,Solution Enabler,Brings strong techno‑functional consulting expertise aligned to JMAN’s delivery context,Yes,2.0,observed
EMP366,Solutions Enabler,Data Engineering,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",Yes,4.0,observed
EMP941,Solutions Enabler,Data Engineering,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",No,0.0,observed
EMP528,Solutions Enabler,Techops & Automation,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",Yes,1.0,observed
EMP603,Solutions Enabler,Full Stack,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",No,0.0,observed
EMP1020,Solutions Enabler,Techops & Automation,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",No,0.0,observed
EMP933,Solutions Enabler,Data Engineering,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",No,0.0,observed
EMP861,Solutions Enabler,Data Engineering,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",No,0.0,observed
EMP451,Solutions Enabler,Data Science & AI,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",No,0.0,observed
EMP468,Solutions Enabler,Data Science & AI,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",Yes,2.0,observed
EMP456,Solutions Enabler,Full Stack,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",Yes,4.0,observed
EMP190,Solutions Enabler,Full Stack,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",No,0.0,observed
EMP594,Solutions Enabler,Full Stack,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",No,0.0,observed
EMP1034,Solutions Enabler,Data Science & AI,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",No,0.0,observed
EMP6,Solutions Enabler,Techops & Automation,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",No,0.0,observed
EMP662,Solutions Enabler,Techops & Automation,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",No,0.0,observed
EMP239,Solutions Enabler,Techops & Automation,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",Yes,3.0,observed
EMP673,Solutions Enabler,Data Science & AI,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",No,0.0,observed
EMP90,Solutions Enabler,Data Engineering,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",Yes,2.0,observed
EMP249,Solutions Enabler,Data Engineering,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",No,0.0,observed
EMP702,Solutions Enabler,Data Science & AI,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",No,0.0,observed
EMP531,Solutions Enabler,Data Engineering,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",Yes,3.0,observed
EMP547,Solutions Enabler,Data Engineering,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",No,0.0,observed
EMP386,Solutions Enabler,Data Engineering,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",No,0.0,observed
EMP581,Solutions Enabler,Techops & Automation,Solution Enabler,"Communicates with clarity, with the ability to confidently explain complex concepts in a simple, structured manner",Yes,1.0,observed
